formulario,codigo_pregunta,variable,seccion_numero,seccion_titulo,pregunta,tipo_campo,obligatoria,nivel_dato,numero_respuesta,valor_respuesta,etiqueta_respuesta
Formulario de Vivienda,V046,viv_tipo_evento,5,Inspección de la vivienda,Tipo de evento,unica,sí,encuesta,1,inundacion,Inundación
Formulario de Vivienda,V046,viv_tipo_evento,5,Inspección de la vivienda,Tipo de evento,unica,sí,encuesta,2,vendaval,Vendaval
Formulario de Vivienda,V046,viv_tipo_evento,5,Inspección de la vivienda,Tipo de evento,unica,sí,encuesta,3,sismo,Sismo
Formulario de Vivienda,V046,viv_tipo_evento,5,Inspección de la vivienda,Tipo de evento,unica,sí,encuesta,4,avenida_torrencial,Avenida torrencial
Formulario de Vivienda,V046,viv_tipo_evento,5,Inspección de la vivienda,Tipo de evento,unica,sí,encuesta,5,remocion_masa,Remoción en masa
Formulario de Vivienda,V046,viv_tipo_evento,5,Inspección de la vivienda,Tipo de evento,unica,sí,encuesta,6,otro,"Otro, ¿cuál?"
Formulario de Vivienda,V047,viv_tipo_evento_otro,5,Inspección de la vivienda,¿Cuál otro evento?,texto,no,encuesta,,"",""
Formulario de Vivienda,V048,viv_sistema_constructivo,5,Inspección de la vivienda,Sistema constructivo,unica,sí,encuesta,1,mamposteria,Mampostería
Formulario de Vivienda,V048,viv_sistema_constructivo,5,Inspección de la vivienda,Sistema constructivo,unica,sí,encuesta,2,madera,Madera
Formulario de Vivienda,V049,viv_infra_muros,5,Inspección de la vivienda,Muros divisorios,multiple,no,encuesta,1,L,(L) Ladrillo
Formulario de Vivienda,V049,viv_infra_muros,5,Inspección de la vivienda,Muros divisorios,multiple,no,encuesta,2,Bl,(Bl) Bloque
Formulario de Vivienda,V049,viv_infra_muros,5,Inspección de la vivienda,Muros divisorios,multiple,no,encuesta,3,M,(M) Madera
Formulario de Vivienda,V049,viv_infra_muros,5,Inspección de la vivienda,Muros divisorios,multiple,no,encuesta,4,G,(G) Guadua
Formulario de Vivienda,V049,viv_infra_muros,5,Inspección de la vivienda,Muros divisorios,multiple,no,encuesta,5,Ba,(Ba) Bahareque
Formulario de Vivienda,V049,viv_infra_muros,5,Inspección de la vivienda,Muros divisorios,multiple,no,encuesta,6,O,(O) Otro
Formulario de Vivienda,V050,viv_infra_muros_otro,5,Inspección de la vivienda,Muros — ¿cuál otro material?,texto,no,encuesta,,"",""
Formulario de Vivienda,V051,viv_infra_pisos,5,Inspección de la vivienda,Pisos,multiple,no,encuesta,1,C,(C) Cemento
Formulario de Vivienda,V051,viv_infra_pisos,5,Inspección de la vivienda,Pisos,multiple,no,encuesta,2,B,(B) Baldosa
Formulario de Vivienda,V051,viv_infra_pisos,5,Inspección de la vivienda,Pisos,multiple,no,encuesta,3,M,(M) Madera
Formulario de Vivienda,V051,viv_infra_pisos,5,Inspección de la vivienda,Pisos,multiple,no,encuesta,4,T,(T) Tierra
Formulario de Vivienda,V051,viv_infra_pisos,5,Inspección de la vivienda,Pisos,multiple,no,encuesta,5,O,(O) Otro
Formulario de Vivienda,V052,viv_infra_pisos_otro,5,Inspección de la vivienda,Pisos — ¿cuál otro material?,texto,no,encuesta,,"",""
Formulario de Vivienda,V053,viv_infra_estructura,5,Inspección de la vivienda,Estructura,multiple,no,encuesta,1,M,(M) Madera
Formulario de Vivienda,V053,viv_infra_estructura,5,Inspección de la vivienda,Estructura,multiple,no,encuesta,2,Co,(Co) Concreto
Formulario de Vivienda,V053,viv_infra_estructura,5,Inspección de la vivienda,Estructura,multiple,no,encuesta,3,Ma,(Ma) Mampostería
Formulario de Vivienda,V053,viv_infra_estructura,5,Inspección de la vivienda,Estructura,multiple,no,encuesta,4,O,(O) Otro
Formulario de Vivienda,V054,viv_infra_estructura_otro,5,Inspección de la vivienda,Estructura — ¿cuál otro material?,texto,no,encuesta,,"",""
Formulario de Vivienda,V055,viv_infra_cubierta,5,Inspección de la vivienda,Cubierta,multiple,no,encuesta,1,Pc,(Pc) Placa concreto
Formulario de Vivienda,V055,viv_infra_cubierta,5,Inspección de la vivienda,Cubierta,multiple,no,encuesta,2,M,(M) Madera
Formulario de Vivienda,V055,viv_infra_cubierta,5,Inspección de la vivienda,Cubierta,multiple,no,encuesta,3,Ac,(Ac) Asbesto-cemento
Formulario de Vivienda,V055,viv_infra_cubierta,5,Inspección de la vivienda,Cubierta,multiple,no,encuesta,4,Tb,(Tb) Teja de barro
Formulario de Vivienda,V055,viv_infra_cubierta,5,Inspección de la vivienda,Cubierta,multiple,no,encuesta,5,Z,(Z) Zinc
Formulario de Vivienda,V055,viv_infra_cubierta,5,Inspección de la vivienda,Cubierta,multiple,no,encuesta,6,P,(P) Palma
Formulario de Vivienda,V055,viv_infra_cubierta,5,Inspección de la vivienda,Cubierta,multiple,no,encuesta,7,O,(O) Otro
Formulario de Vivienda,V056,viv_infra_cubierta_otro,5,Inspección de la vivienda,Cubierta — ¿cuál otro material?,texto,no,encuesta,,"",""
Formulario de Vivienda,V057,viv_mam_vigas_columnas_afectado,5,Inspección de la vivienda,Vigas y columnas — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V057,viv_mam_vigas_columnas_afectado,5,Inspección de la vivienda,Vigas y columnas — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V058,viv_mam_vigas_columnas_nivel,5,Inspección de la vivienda,Vigas y columnas — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V058,viv_mam_vigas_columnas_nivel,5,Inspección de la vivienda,Vigas y columnas — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V058,viv_mam_vigas_columnas_nivel,5,Inspección de la vivienda,Vigas y columnas — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V058,viv_mam_vigas_columnas_nivel,5,Inspección de la vivienda,Vigas y columnas — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V059,viv_mam_muros_carga_afectado,5,Inspección de la vivienda,Muros de carga — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V059,viv_mam_muros_carga_afectado,5,Inspección de la vivienda,Muros de carga — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V060,viv_mam_muros_carga_nivel,5,Inspección de la vivienda,Muros de carga — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V060,viv_mam_muros_carga_nivel,5,Inspección de la vivienda,Muros de carga — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V060,viv_mam_muros_carga_nivel,5,Inspección de la vivienda,Muros de carga — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V060,viv_mam_muros_carga_nivel,5,Inspección de la vivienda,Muros de carga — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V061,viv_mam_muros_divisorios_afectado,5,Inspección de la vivienda,Muros divisorios — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V061,viv_mam_muros_divisorios_afectado,5,Inspección de la vivienda,Muros divisorios — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V062,viv_mam_muros_divisorios_nivel,5,Inspección de la vivienda,Muros divisorios — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V062,viv_mam_muros_divisorios_nivel,5,Inspección de la vivienda,Muros divisorios — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V062,viv_mam_muros_divisorios_nivel,5,Inspección de la vivienda,Muros divisorios — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V062,viv_mam_muros_divisorios_nivel,5,Inspección de la vivienda,Muros divisorios — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V063,viv_mam_placa_piso_afectado,5,Inspección de la vivienda,Placa de piso — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V063,viv_mam_placa_piso_afectado,5,Inspección de la vivienda,Placa de piso — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V064,viv_mam_placa_piso_nivel,5,Inspección de la vivienda,Placa de piso — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V064,viv_mam_placa_piso_nivel,5,Inspección de la vivienda,Placa de piso — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V064,viv_mam_placa_piso_nivel,5,Inspección de la vivienda,Placa de piso — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V064,viv_mam_placa_piso_nivel,5,Inspección de la vivienda,Placa de piso — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V064,viv_mam_placa_piso_nivel,5,Inspección de la vivienda,Placa de piso — Nivel de daño,unica,no,encuesta,5,na,No aplica (N/A)
Formulario de Vivienda,V065,viv_mam_cubierta_afectado,5,Inspección de la vivienda,Cubierta — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V065,viv_mam_cubierta_afectado,5,Inspección de la vivienda,Cubierta — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V066,viv_mam_cubierta_nivel,5,Inspección de la vivienda,Cubierta — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V066,viv_mam_cubierta_nivel,5,Inspección de la vivienda,Cubierta — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V066,viv_mam_cubierta_nivel,5,Inspección de la vivienda,Cubierta — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V066,viv_mam_cubierta_nivel,5,Inspección de la vivienda,Cubierta — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V067,viv_mam_hidrosanitarias_afectado,5,Inspección de la vivienda,Instalaciones hidrosanitarias — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V067,viv_mam_hidrosanitarias_afectado,5,Inspección de la vivienda,Instalaciones hidrosanitarias — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V068,viv_mam_hidrosanitarias_nivel,5,Inspección de la vivienda,Instalaciones hidrosanitarias — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V068,viv_mam_hidrosanitarias_nivel,5,Inspección de la vivienda,Instalaciones hidrosanitarias — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V068,viv_mam_hidrosanitarias_nivel,5,Inspección de la vivienda,Instalaciones hidrosanitarias — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V068,viv_mam_hidrosanitarias_nivel,5,Inspección de la vivienda,Instalaciones hidrosanitarias — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V068,viv_mam_hidrosanitarias_nivel,5,Inspección de la vivienda,Instalaciones hidrosanitarias — Nivel de daño,unica,no,encuesta,5,na,No aplica (N/A)
Formulario de Vivienda,V069,viv_mam_electricas_afectado,5,Inspección de la vivienda,Instalaciones eléctricas — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V069,viv_mam_electricas_afectado,5,Inspección de la vivienda,Instalaciones eléctricas — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V070,viv_mam_electricas_nivel,5,Inspección de la vivienda,Instalaciones eléctricas — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V070,viv_mam_electricas_nivel,5,Inspección de la vivienda,Instalaciones eléctricas — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V070,viv_mam_electricas_nivel,5,Inspección de la vivienda,Instalaciones eléctricas — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V070,viv_mam_electricas_nivel,5,Inspección de la vivienda,Instalaciones eléctricas — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V071,viv_mad_vigas_columnas_afectado,5,Inspección de la vivienda,Vigas y columnas — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V071,viv_mad_vigas_columnas_afectado,5,Inspección de la vivienda,Vigas y columnas — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V072,viv_mad_vigas_columnas_nivel,5,Inspección de la vivienda,Vigas y columnas — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V072,viv_mad_vigas_columnas_nivel,5,Inspección de la vivienda,Vigas y columnas — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V072,viv_mad_vigas_columnas_nivel,5,Inspección de la vivienda,Vigas y columnas — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V072,viv_mad_vigas_columnas_nivel,5,Inspección de la vivienda,Vigas y columnas — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V073,viv_mad_entrepisos_afectado,5,Inspección de la vivienda,Entrepisos — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V073,viv_mad_entrepisos_afectado,5,Inspección de la vivienda,Entrepisos — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V074,viv_mad_entrepisos_nivel,5,Inspección de la vivienda,Entrepisos — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V074,viv_mad_entrepisos_nivel,5,Inspección de la vivienda,Entrepisos — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V074,viv_mad_entrepisos_nivel,5,Inspección de la vivienda,Entrepisos — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V074,viv_mad_entrepisos_nivel,5,Inspección de la vivienda,Entrepisos — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V075,viv_mad_muros_madera_afectado,5,Inspección de la vivienda,Muros en madera — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V075,viv_mad_muros_madera_afectado,5,Inspección de la vivienda,Muros en madera — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V076,viv_mad_muros_madera_nivel,5,Inspección de la vivienda,Muros en madera — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V076,viv_mad_muros_madera_nivel,5,Inspección de la vivienda,Muros en madera — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V076,viv_mad_muros_madera_nivel,5,Inspección de la vivienda,Muros en madera — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V076,viv_mad_muros_madera_nivel,5,Inspección de la vivienda,Muros en madera — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V076,viv_mad_muros_madera_nivel,5,Inspección de la vivienda,Muros en madera — Nivel de daño,unica,no,encuesta,5,na,No aplica (N/A)
Formulario de Vivienda,V077,viv_mad_cubierta_afectado,5,Inspección de la vivienda,Cubierta — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V077,viv_mad_cubierta_afectado,5,Inspección de la vivienda,Cubierta — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V078,viv_mad_cubierta_nivel,5,Inspección de la vivienda,Cubierta — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V078,viv_mad_cubierta_nivel,5,Inspección de la vivienda,Cubierta — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V078,viv_mad_cubierta_nivel,5,Inspección de la vivienda,Cubierta — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V078,viv_mad_cubierta_nivel,5,Inspección de la vivienda,Cubierta — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V079,viv_mad_hidrosanitarias_afectado,5,Inspección de la vivienda,Instalaciones hidrosanitarias — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V079,viv_mad_hidrosanitarias_afectado,5,Inspección de la vivienda,Instalaciones hidrosanitarias — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V080,viv_mad_hidrosanitarias_nivel,5,Inspección de la vivienda,Instalaciones hidrosanitarias — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V080,viv_mad_hidrosanitarias_nivel,5,Inspección de la vivienda,Instalaciones hidrosanitarias — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V080,viv_mad_hidrosanitarias_nivel,5,Inspección de la vivienda,Instalaciones hidrosanitarias — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V080,viv_mad_hidrosanitarias_nivel,5,Inspección de la vivienda,Instalaciones hidrosanitarias — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V081,viv_mad_electricas_afectado,5,Inspección de la vivienda,Instalaciones eléctricas — ¿El elemento fue afectado?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V081,viv_mad_electricas_afectado,5,Inspección de la vivienda,Instalaciones eléctricas — ¿El elemento fue afectado?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V082,viv_mad_electricas_nivel,5,Inspección de la vivienda,Instalaciones eléctricas — Nivel de daño,unica,no,encuesta,1,leve,Leve
Formulario de Vivienda,V082,viv_mad_electricas_nivel,5,Inspección de la vivienda,Instalaciones eléctricas — Nivel de daño,unica,no,encuesta,2,moderado,Moderado
Formulario de Vivienda,V082,viv_mad_electricas_nivel,5,Inspección de la vivienda,Instalaciones eléctricas — Nivel de daño,unica,no,encuesta,3,severo,Severo
Formulario de Vivienda,V082,viv_mad_electricas_nivel,5,Inspección de la vivienda,Instalaciones eléctricas — Nivel de daño,unica,no,encuesta,4,colapso_total,Colapso total
Formulario de Vivienda,V082,viv_mad_electricas_nivel,5,Inspección de la vivienda,Instalaciones eléctricas — Nivel de daño,unica,no,encuesta,5,na,No aplica (N/A)
Formulario de Vivienda,V083,viv_requiere_evacuacion,5,Inspección de la vivienda,¿Requiere evacuación la vivienda?,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V083,viv_requiere_evacuacion,5,Inspección de la vivienda,¿Requiere evacuación la vivienda?,unica,no,encuesta,2,no,No
Formulario de Vivienda,V084,viv_combo_mamposteria,6,Banco de materiales requerido para la rehabilitación,Combo de materiales — Vivienda en mampostería,unica,no,encuesta,1,combo_1,Combo 1 — Leve
Formulario de Vivienda,V084,viv_combo_mamposteria,6,Banco de materiales requerido para la rehabilitación,Combo de materiales — Vivienda en mampostería,unica,no,encuesta,2,combo_2,Combo 2 — Moderado
Formulario de Vivienda,V084,viv_combo_mamposteria,6,Banco de materiales requerido para la rehabilitación,Combo de materiales — Vivienda en mampostería,unica,no,encuesta,3,combo_3,Combo 3 — Severo
Formulario de Vivienda,V085,viv_combo_madera,6,Banco de materiales requerido para la rehabilitación,Combo de materiales — Vivienda en madera,unica,no,encuesta,1,combo_4,Combo 4 — Leve
Formulario de Vivienda,V085,viv_combo_madera,6,Banco de materiales requerido para la rehabilitación,Combo de materiales — Vivienda en madera,unica,no,encuesta,2,combo_5,Combo 5 — Moderado
Formulario de Vivienda,V085,viv_combo_madera,6,Banco de materiales requerido para la rehabilitación,Combo de materiales — Vivienda en madera,unica,no,encuesta,3,combo_6,Combo 6 — Severo
Formulario de Vivienda,V086,viv_kit_cubierta_mamposteria,6,Banco de materiales requerido para la rehabilitación,Kit cubiertas — Vivienda en mampostería,unica,no,encuesta,1,zinc,Cubierta zinc
Formulario de Vivienda,V086,viv_kit_cubierta_mamposteria,6,Banco de materiales requerido para la rehabilitación,Kit cubiertas — Vivienda en mampostería,unica,no,encuesta,2,fibrocemento,Cubierta fibrocemento
Formulario de Vivienda,V087,viv_kit_cubierta_madera,6,Banco de materiales requerido para la rehabilitación,Kit cubiertas — Vivienda en madera,unica,no,encuesta,1,zinc,Cubierta zinc
Formulario de Vivienda,V088,viv_combo_colapso_total,6,Banco de materiales requerido para la rehabilitación,Combo vivienda colapso total,unica,no,encuesta,1,mamposteria,Mampostería
Formulario de Vivienda,V088,viv_combo_colapso_total,6,Banco de materiales requerido para la rehabilitación,Combo vivienda colapso total,unica,no,encuesta,2,madera,Madera
Formulario de Vivienda,V089,viv_inf_nombre,7,Datos de la persona que suministra la información en la visita,Nombre,texto,no,encuesta,,"",""
Formulario de Vivienda,V090,viv_inf_cc,7,Datos de la persona que suministra la información en la visita,C.C. No.,texto,no,encuesta,,"",""
